title,type,description,disciplines,organization,keywords,program_work_experience_required,url
LAF Fellowship for Innovation and Leadership,Type: Professional Fellowships,"The LAF Fellowship for Innovation and Leadership is an opportunity for landscape architecture professionals to dedicate the equivalent of 3 months over one year to nurture emerging ideas and to think deeply. It is designed as a time to reflect, research, explore, create, test, and develop ideas into action. Each year, 3-4 mid-career and senior-level fellowships are awarded through a competitive application process based on a proposed project. Selected Fellows receive a $25,000 financial award and participate in three 2.5-day residencies over a year, as well as monthly conference calls. Applicants must have a bachelor’s or master’s degree in landscape architecture and must have a minimum of 6 years of professional experience in landscape architecture.","Disciplines: Science, Engineering, Technology",Landscape Architecture Foundation,"Keywords: Landscape Architecture, Leadership Development, Mid-Career, Mid-Career Professionals, Professional Leadership, Transformational Leadership","Work Experience: 5-10, 10+",https://www.profellow.com/fellowship/laf-fellowship-for-innovation-and-leadership/
Borealis AI Fellowships,Type: Doctoral Fellowships,"Borealis AI Fellowships program has been designed to help exceptional domestic and international students achieve their goals as they pursue graduate degrees at a Canadian university in ML or AI. The program supports PhD students helping enable them to pursue world-leading research. Successful candidates must be able to demonstrate strong research capabilities and present a sound research proposal for work related to their graduate degree. Each fellowship is $10,000.",Disciplines: Technology,Borealis AI,"Keywords: AI, AI Fellowships, Artificial Intelligence, Canada, Machine Learning, PhD Students",Work Experience: Any,https://www.profellow.com/fellowship/borealis-ai-fellowships/
Pulitzer Center AI Accountability Fellowships,Type: Professional Fellowships,"The Pulitzer Center Al Accountability Fellowships seek to support journalists working on in-depth AI accountability stories that examine governments’ and corporations’ uses of predictive and surveillance technologies to guide decisions in policing, medicine, social welfare, the criminal justice system, hiring, and more. Journalists need to apply for a reporting project they wish to pursue during their Fellowship. We encourage enterprise and accountability projects that use a variety of approaches—including data analysis, records requests, and shoe-leather reporting—to delve into the real-world impact of algorithms on policy, individuals, and communities. The 10-month Fellowship will provide journalists with up to $20,000 to pursue their reporting project.","Disciplines: Communications, Technology",Pulitzer Center,"Keywords: AI Accountability, AI Fellowships, Data Analysis, Freelance Journalists, Journalists, media journalists, Online Fellowship, Remote, Reporters, Virtual",Work Experience: 0-5,https://www.profellow.com/fellowship/pulitzer-center-ai-accountability-fellowships/
Meta Artificial Intelligence Residency Program,Type: Professional Fellowships,"The Artificial Intelligence Residency Program is a one-year research training position designed to give you hands-on experience with artificial intelligence research while working in AI at Meta. This program is ideal for those interested in applying to PhD programs, publishing research papers, and maximizing their experience before applying or attending a graduate program in the designated field. The program pairs you with AI Researchers to help guide your project. Applications are encouraged from people with a passion for AI from a diverse range of backgrounds, and people with technical backgrounds who hope to apply to a graduate program or would like more preparation before doing so. This is a full-time program.","Disciplines: Science, Engineering, Technology",Meta,"Keywords: AI, AI Fellowships, AI Research, AI Residency, AI Residency Program, Artificial Intelligence, Machine Learning, Residency Program",Work Experience: 0-5,https://www.profellow.com/fellowship/meta-artificial-intelligence-residency-program/
Eric and Wendy Schmidt AI in Science Postdoctoral Fellowship,Type: Post-doctoral Fellowships,"The Eric and Wendy Schmidt AI in Science Postdoctoral Fellowship, a program of Schmidt Futures, aims to accelerate the next scientific revolution by applying AI to research in science, technology, engineering, and mathematics (STEM). The Fellowship program will initially support approximately 160 postdoctoral Fellows across nine universities around the world each year, to learn and apply AI methods to their research. Each university site will select a new cohort, comprised of up to 20 Fellows, annually for up to six years. Universities joining the program will provide advanced AI training, funded research support, and professional development opportunities. The Fellowship aims to create breakthroughs across a range of scientific fields.","Disciplines: Science, Engineering, Technology",Schmidt Futures,"Keywords: AI Fellowships, AI Research, AI Researchers, Artificial Intelligence, Postdoctoral Program, Postdoctoral Research, Postdoctoral Researcher, Singapore, STEM, UK",Work Experience: 0-5,https://www.profellow.com/fellowship/eric-and-wendy-schmidt-ai-in-science-postdoctoral-fellowship/
ETH AI Center Postdoctoral Fellowships,Type: Post-doctoral Fellowships,"This unique fellowship program is intended to give highly motivated Post-Docs with excellent track records the opportunity to conduct “research with impact” to shape the future of AI. The positions are for two years with a flexible starting date. The salary is according to the standard salary scale for postdoctoral fellows at ETH Zurich. You hold a PhD (or should be less than 10 months before completion of the PhD thesis) in computer science, machine learning, statistics, physics, engineering, applied mathematics, or other relevant AI fields.","Disciplines: Science, Engineering, Technology",ETH AI Center,"Keywords: AI, AI Fellowships, AI Researchers, Artificial Intelligence, ETH Zurich, Interdisciplinary AI, Interdisciplinary AI Research, Machine Learning, Post Doctorate, Postdoctoral Program, Postdoctoral Research",Work Experience: Any,https://www.profellow.com/fellowship/eth-ai-center-postdoctoral-fellowships/
ETH AI Center Doctoral Fellowships,Type: Doctoral Fellowships,"The ETH AI Center offers a unique fellowship program for doctoral students, designed to foster interdisciplinary collaboration and a positive impact on society. All doctoral fellows across various disciplines will be co-located at the premises of the ETH AI Center and collaboration with faculty and staff of other disciplines is highly encouraged. The ETH AI Center also offers to strengthen their career path through an optional entrepreneurial or industry track. Candidates with a strong academic background and a Master’s degree in computer science, physics, engineering, applied mathematics, or other relevant fields should apply. Candidates select interest areas in AI foundations (AI theory, foundations, methods, and systems).",Disciplines: Technology,ETH AI Center,"Keywords: AI Researchers, AI Theory, Artificial Intelligence, ETH Zurich, Interdisciplinary AI, Interdisciplinary AI Research, Machine Learning, PhD Students",Work Experience: Any,https://www.profellow.com/fellowship/eth-ai-center-doctoral-fellowships/
Runway Startup Postdoc Program at Cornell Tech,Type: Post-doctoral Fellowships,"The Runway Startup Postdoc Program is part business school, part research institution, and part startup incubator. Based at the Jacobs Technion-Cornell Institute, Runway ushers recent PhDs in digital technology fields through a paradigm shift — from an academic mindset to an entrepreneurial outlook. Startup Postdocs arrive with ideas for unproven products and markets that require time and specialized guidance to develop. The program lasts 12–24 months and incorporates academic and business mentorship. Runway provides an impressive package valued at $175,000 in the first year and $102,000 in the second year, which includes a salary, research budget, housing allowance, space, and more.","Disciplines: Business, Technology",Cornell Tech.,"Keywords: Business Mentorship, Connective Media, Digital Technologies, Entrepreneurs, Entrepreneurship, Health Technology, Innovative Entrepreneurs, New York City, Postdoctoral Program, Recent PhD, Security and Privacy, Startup Postdocs, Startup Postdoctoral, Startups, Tech Expertise, Technology Entrepreneurship",Work Experience: 0-5,https://www.profellow.com/fellowship/runway-startup-postdoc-program-at-cornell-tech/
Solar Ready Vets Fellowships,Type: Professional Fellowships,"The Solar Ready Vets Fellowships is implemented by Hiring Our Heroes. The Fellowship connects transitioning service members with solar employers for on-the-job experience in leadership and corporate roles, offering access to a natural recruitment pipeline of the best and brightest transitioning military talent as they explore civilian career options. Highly qualified transitioning service members are placed with solar industry employers for 12 weeks of on-the-job training, intended to lead to employment. There is no cost to employers or fellows to participate. As the Fellowship is a Department of Defense SkillBridge program, fellows are still on active duty and will continue to receive their military salaries and benefits through the 12 weeks.","Disciplines: Social Sciences / Liberal Arts, Business, Communications, Engineering, Technology",Interstate Renewable Energy Council (IREC),"Keywords: Active Duty Military, business development, Military, Military Fellowships, Military Veterans, operations and logistics, Project Management, Service Members, Veteran Fellowship",Work Experience: Any,https://www.profellow.com/fellowship/solar-ready-vets-fellowships/
Standard University Human-Centered Artificial Intelligence (HAI) Fellowships,"Type: Masters Fellowships, Post-doctoral Fellowships","Human-Centered Artificial Intelligence (HAI) was established to support innovative AI research that bridges disciplines and fields. The Institute aims to appoint and support promising researchers through its fellowship programs who are working at intersections often overlooked by traditional academic departments, in addition to outstanding researchers pursuing core disciplinary topics.” There are three fellowships available: 1) HAI Postdoctoral Fellowship Program; 2) HAI Graduate Fellowship Program; and 3) Stanford Digital Economy Lab (DEL) Postdoctoral Fellowships.",Disciplines: Technology,"Standard University, Human-Centered Artificial Intelligence (HAI)","Keywords: AI Fellowships, AI Research, Graduate Fellowships, Innovative AI Research, Postdoctoral Fellowships, Technology",Work Experience: Any,https://www.profellow.com/fellowship/standard-university-human-centered-artificial-intelligence-hai-fellowships/
